county_id,county,year,children_in_poverty,children_in_poverty_ci_high,children_in_poverty_ci_low,county_fips,county_name,children_in_poverty_rate_pct,data_topic,indicator_name,source_file,etl_processed_at,value_type,verified
05000US18105,"Monroe County, IN",2014,0.202000007033348,0.2430000007152557,0.1609999984502792,18105,"Monroe County, IN",20.2,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2015,0.1780000030994415,0.2189999967813491,0.1369999945163726,18105,"Monroe County, IN",17.8,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2016,0.1899999976158142,0.2319999933242797,0.1480000019073486,18105,"Monroe County, IN",19.0,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2017,0.181999996304512,0.2199999988079071,0.1439999938011169,18105,"Monroe County, IN",18.2,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2018,0.1759999990463256,0.2153189927339553,0.1366810053586959,18105,"Monroe County, IN",17.6,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2019,0.1720000058412552,0.2077450007200241,0.136254996061325,18105,"Monroe County, IN",17.2,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2020,0.1420000046491623,0.1801279932260513,0.103872001171112,18105,"Monroe County, IN",14.2,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2021,0.1500000059604644,0.1893189996480941,0.1106809973716735,18105,"Monroe County, IN",15.0,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2022,0.1369999945163726,0.1715530008077621,0.1024470031261444,18105,"Monroe County, IN",13.7,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2023,0.1439999938011169,0.1868939995765686,0.1011060029268264,18105,"Monroe County, IN",14.4,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
05000US18105,"Monroe County, IN",2024,0.1400000005960464,0.185276597738266,0.0947234034538269,18105,"Monroe County, IN",14.0,demographics,children_in_poverty,data/raw/misc/dataset_archive/Children in Poverty.csv,2026-06-13T22:00:48.233494+00:00,rate_proportion,True
